"timestamp","contextSwitches","majorFaults","bytesRead","bytesWritten","kernelTime","minorFaults","name","path","residentSetSize","upTime","user","userTime","eventHeader","cpu","state"
"1689241127798","0","0","39015278","38483231","3281","506397","Adobe Desktop Service","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","85192021","10765473","philipp.borbely","4356","0","0.011799975240507674","RUNNING"
"1689241127798","0","0","32376226","22341063","132","22038","AdobeIPCBroker","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","3940352","10766436","philipp.borbely","562","0","0.0010841418125876227","RUNNING"
"1689241127798","0","0","13371","6810","15","11154","AdobeNotificationClient","C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe","1134592","10760667","philipp.borbely","0","0","2.3177813400766513E-5","RUNNING"
"1689241127798","0","0","8192","16371","15","2867","AdobeUpdateService","","1318912","10833389","unknown","0","0","2.3022591686582512E-5","RUNNING"
"1689241127798","0","0","525938","1271","15","4021","AggregatorHost","","2105344","10831950","unknown","0","0","2.3025642999584344E-5","RUNNING"
"1689241127798","0","0","18250","8","31","56088","ApplicationFrameHost","C:\Windows\System32\ApplicationFrameHost.exe","33566720","10664972","philipp.borbely","62","0","1.449887840605018E-4","RUNNING"
"1689241127798","0","0","1939","0","0","960","CCLibrary","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe","385024","10735143","philipp.borbely","0","0","0.0","RUNNING"
"1689241127798","0","0","2139","0","0","931","CCXProcess","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe","356352","10766775","philipp.borbely","0","0","0.0","RUNNING"
"1689241127798","0","0","45184867","15637629","906","148124","CoreSync","C:\Program Files (x86)\Adobe\Adobe Sync\CoreSync\CoreSync.exe","32755712","10742463","philipp.borbely","1890","0","0.004327648257576672","RUNNING"
"1689241127798","0","0","0","0","15","1777","CptService","","921600","10833380","unknown","0","0","2.302261076802837E-5","RUNNING"
"1689241127798","0","0","219952392","8526078","8875","4143095","Creative Cloud","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe","128245760","10767198","philipp.borbely","13968","0","0.0352753603026378","RUNNING"
"1689241127798","0","0","115781170","51188708","2171","956055","Creative Cloud UI Helper","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Creative Cloud UI Helper.exe","286537728","21528281","philipp.borbely","23796","0","0.040111039783053866","RUNNING"
"1689241127798","0","0","76422","0","93","4972","DellFFDPWmiService","","3227648","10833380","unknown","15","0","1.6576279752980429E-4","RUNNING"
"1689241127798","0","0","6867109","151087","328","124383","EXCEL","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE","74138965","111415","philipp.borbely","390","0","0.08739065889825193","RUNNING"
"1689241127798","0","0","347215","221310","156","13875","FSAgentService","","13088085","10833382","unknown","125","0","4.3129016228566117E-4","RUNNING"
"1689241127798","0","0","112619","43303","78","11585","FileCoAuth","C:\Program Files\Microsoft OneDrive\23.132.0625.0001\FileCoAuth.exe","5010090","8518688","philipp.borbely","62","0","2.7308979740465355E-4","RUNNING"
