"timestamp","name","residentSetSize"
"1688997726806","Adobe Desktop Service","18240773"
"1688997726806","AdobeIPCBroker","2858044"
"1688997726806","AdobeNotificationClient","1134592"
"1688997726806","AdobeUpdateService","610304"
"1688997726806","AggregatorHost","1265664"
"1688997726806","ApplicationFrameHost","9588736"
"1688997726806","CCLibrary","163840"
"1688997726806","CCXProcess","143360"
"1688997726806","CalculatorApp","30758149"
"1688997726806","Code","101148872"
"1688997726806","CodeSetup-stable-660393deaaa6d1996740ff4880f1bad43768c814","528384"
"1688997726806","CodeSetup-stable-660393deaaa6d1996740ff4880f1bad43768c814.tmp","1605632"
"1688997726806","CoreSync","40188024"
"1688997726806","CptService","425984"
"1688997726806","Creative Cloud","58368000"
"1688997726806","Creative Cloud UI Helper","184480386"
"1688997726806","DellFFDPWmiService","610304"
"1688997726806","FSAgentService","11415552"
"1688997726806","FileCoAuth","4595712"
"1688997726806","FileSyncHelper","3880759"
"1688997726806","HxAccounts","8862699"
"1688997726806","HxOutlook","299008"
"1688997726806","HxTsr","4837376"
"1688997726806","Idle","8192"
"1688997726806","IntelCpHDCPSvc","1032192"
"1688997726806","IntelCpHeciSvc","1036288"
"1688997726806","LMS","1241088"
"1688997726806","LocationNotificationWindows","1118288"
"1688997726806","LockApp","10600448"
"1688997726806","LsaIso","1269760"
"1688997726806","Memory Compression","761385281"
"1688997726806","Microsoft.Management.Services.IntuneWindowsAgent","38110388"
"1688997726806","Microsoft.SharePoint","5459968"
"1688997726806","MsMpEng","227550067"
"1688997726806","MsSense","115625743"
"1688997726806","NVDisplay.Container","12177408"
"1688997726806","NisSrv","11025387"
"1688997726806","OUTLOOK","119627294"
"1688997726806","OfficeClickToRun","9830400"
"1688997726806","OneApp.IGCC.WinService","5193085"
"1688997726806","OneDrive","18081189"
"1688997726806","OpenConsole","5855754"
"1688997726806","PanGPA","1662976"
"1688997726806","PanGPS","2011136"
"1688997726806","Registry","2186541"
"1688997726806","RstMwService","458752"
"1688997726806","RuntimeBroker","27101304"
"1688997726806","SearchHost","296364232"
"1688997726806","SearchIndexer","26492928"
"1688997726806","Secure System","83959808"
"1688997726806","SecurityHealthService","2920448"
"1688997726806","SecurityHealthSystray","1048576"
"1688997726806","SenseCE","10858496"
"1688997726806","SenseNdr","41508864"
"1688997726806","ServiceShell","21872318"
"1688997726806","SgrmBroker","5600195"
"1688997726806","ShellExperienceHost","17502208"
"1688997726806","Slack","391498250"
"1688997726806","SocketHeciServer","487424"
"1688997726806","StartMenuExperienceHost","47728278"
"1688997726806","System","20480"
"1688997726806","SystemSettings","249856"
"1688997726806","TabTip","2224128"
"1688997726806","Taskmgr","85747511"
"1688997726806","TbtP2pShortcutService","585728"
"1688997726806","TextInputHost","17604608"
"1688997726806","ThunderboltService","2023424"
"1688997726806","WMIRegistrationService","651264"
"1688997726806","WUDFHost","6348800"
"1688997726806","WidgetService","1523712"
"1688997726806","Widgets","8888882"
"1688997726806","WindowsTerminal","60715168"
"1688997726806","WmiPrvSE","15909827"
"1688997726806","aesm_service","966656"
"1688997726806","ai","827392"
"1688997726806","audiodg","3758120"
"1688997726806","backgroundTaskHost","4907008"
"1688997726806","chrome","818757230"
"1688997726806","cmd","479232"
"1688997726806","conhost","20120515"
"1688997726806","csrss","3163075"
"1688997726806","ctfmon","3448832"
"1688997726806","dllhost","5023302"
"1688997726806","dwm","204953640"
"1688997726806","esif_uf","499712"
"1688997726806","explorer","126896409"
"1688997726806","fontdrvhost","3309568"
"1688997726806","fsnotifier","212992"
"1688997726806","git-cmd","983040"
"1688997726806","idea64","1974568277"
"1688997726806","igfxCUIService","1142784"
"1688997726806","igfxEM","1839104"
"1688997726806","java","140265271"
"1688997726806","jhi_service","487424"
"1688997726806","lsass","11029162"
"1688997726806","msedge","140038224"
"1688997726806","msedgewebview2","76789077"
"1688997726806","msteams","6969223"
"1688997726806","node","43621275"
"1688997726806","nvWmi64","4726784"
"1688997726806","powershell","2015232"
"1688997726806","python","366323591"
"1688997726806","services","5475066"
"1688997726806","sihost","5000493"
"1688997726806","smss","114688"
"1688997726806","spoolsv","1650688"
"1688997726806","svchost","311727284"
"1688997726806","taskhostw","4755456"
"1688997726806","vmcompute","1265664"
"1688997726806","vmmemCmZygote","0"
"1688997726806","winget","7389906"
"1688997726806","wininit","380928"
"1688997726806","winlogon","1163264"
"1688997726806","wlanext","1093632"
"1688997726806","wslservice","2400256"
