timestamp|contextSwitches|majorFaults|bitness|commandLine|currentWorkingDirectory|name|openFiles|parentProcessID|path|residentSetSize|state|threadCount|upTime|user|processCountDifference|cpuUsage
1690273916237|0|0|32|"C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe" --onOSstartup=true --showwindow=false --waitForRegistration=true||Adobe Desktop Service|1003|0|C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe|14305280|RUNNING|48|6716714|sarah.ettlinger|0|4.814337383982066E-4
1690273916237|0|0|32|"C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe" "-launchedbyvulcan-13196 C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe"||AdobeIPCBroker|247|0|C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe|3189418|RUNNING|30|6717608|sarah.ettlinger|0|5.195206528929495E-4
1690273916237|0|0|32|"C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe" -ServerName:CreativeCloud.AppXkc26ec7ewq1x9dww5fbpte7xrjdypftp.mca||AdobeNotificationClient|415|0|C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe|45056|RUNNING|11|6711161|sarah.ettlinger|0|1.5519980422796308E-6
1690273916237|0|0|64|"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"|C:\Program Files\Common Files\Microsoft Shared\ClickToRun\|AppVShNotify|160|0|C:\Program Files\Common Files\microsoft shared\ClickToRun\AppVShNotify.exe|61440|RUNNING|1|6086210|sarah.ettlinger|0|0.0
1690273916237|0|0|64|C:\Windows\system32\ApplicationFrameHost.exe -Embedding|C:\Windows\system32\|ApplicationFrameHost|512|0|C:\Windows\System32\ApplicationFrameHost.exe|19550208|RUNNING|5|6223539|sarah.ettlinger|0|8.37322499784727E-7
1690273916237|0|0|64|"C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe"|C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\|CCLibrary|46|0|C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe|28672|RUNNING|1|6686248|sarah.ettlinger|0|0.0
1690273916237|0|0|64|"C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"|C:\Program Files\Adobe\Adobe Creative Cloud Experience\|CCXProcess|46|0|C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe|28672|RUNNING|1|6715637|sarah.ettlinger|0|0.0
1690273916237|0|0|64|"C:\Users\sarah.ettlinger\AppData\Local\Programs\Microsoft VS Code\Code.exe" --ms-enable-electron-run-as-node "c:\Users\sarah.ettlinger\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain" --node-ipc --clientProcessId=23732|C:\Users\sarah.ettlinger\AppData\Local\Programs\Microsoft VS Code\|Code|3795|0|C:\Users\sarah.ettlinger\AppData\Local\Programs\Microsoft VS Code\Code.exe|346710016|RUNNING|158|1355138|sarah.ettlinger|0|4.5733330694834443E-4
1690273916237|0|0|32|"C:\Program Files (x86)\Adobe\Adobe Sync\CoreSync\CoreSync.exe"||CoreSync|717|0|C:\Program Files (x86)\Adobe\Adobe Sync\CoreSync\CoreSync.exe|16678912|RUNNING|69|6689120|sarah.ettlinger|0|3.012943990595838E-4
1690273916237|0|0|64|"C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe" --showwindow=false --onOSstartup=true|C:\Windows\SysWOW64\|Creative Cloud|934|0|C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe|8491008|RUNNING|45|6718441|sarah.ettlinger|0|7.016871096612278E-4
